program_label,borocode,county,census_tract,code,total_units,number_reported,est_total_occupied,diff_occupied_reported,people_total,id_100,in_floddplain_100,in_floodplain_100,id_500,in_floddplain_500,in_floodplain_500
Housing Choice Vouchers,1.0,New York County,19100.0,36061019100,88.0,63.0,87.12,24.120000000000005,63.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,19200.0,36061019200,22.0,17.0,20.02,3.0199999999999996,30.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,19300.0,36061019300,320.0,262.0,288.0,26.0,471.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,19400.0,36061019400,52.0,39.0,48.36,9.36,74.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,19600.0,36061019600,274.0,210.0,246.6,36.599999999999994,520.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,19701.0,36061019701,20.0,15.0,18.2,3.1999999999999993,31.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,19702.0,36061019702,36.0,28.0,32.04,4.039999999999999,42.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,19800.0,36061019800,24.0,19.0,21.12,2.120000000000001,29.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,20000.0,36061020000,123.0,89.0,119.31,30.310000000000002,104.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,20102.0,36061020102,46.0,35.0,42.32,7.32,43.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,20600.0,36061020600,93.0,70.0,85.56,15.560000000000002,116.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,20800.0,36061020800,128.0,97.0,116.48,19.480000000000004,175.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,20901.0,36061020901,47.0,36.0,42.300000000000004,6.300000000000004,60.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,21000.0,36061021000,49.0,38.0,43.12,5.119999999999997,64.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,21200.0,36061021200,32.0,25.0,27.52,2.5199999999999996,44.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,21303.0,36061021303,97.0,75.0,86.33,11.329999999999998,130.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,21400.0,36061021400,104.0,80.0,92.56,12.560000000000002,110.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,1.0,New York County,21500.0,36061021500,209.0,175.0,190.19,15.189999999999998,378.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,21600.0,36061021600,104.0,80.0,92.56,12.560000000000002,167.0,,0,0,,0,0
Housing Choice Vouchers,1.0,New York County,21800.0,36061021800,178.0,131.0,169.1,38.099999999999994,158.0,,0,0,,0,0
